Coptic-Arabic,Arabic,English,Error,Vocalized
ϩⲉϩⲟⲛⲉ,هاهنا,here,,هَاهُنَا
ⲃⲉϩⲉϩⲟⲛⲉ,وهاهنا,and here,,وَهَاهُنَا
ⲃⲉⲗⲉ,ولا,and not,,وَلَا
ⲑⲉⲑⲭⲉⲗⲗⲉⲙ,تتكلم,you speak,,تَتَكَلَّمُ
ⲭⲉⲗⲙⲉⲑⲉⲛ,كلمة,a word,,كَلِمَةً
ⲡⲉⲧⲧⲁⲗⲉ,بطالة,idle,,بَطَالَةٍ
ⲃⲉⲗⲉ,ولا,and not,,وَلَاَ
ⲑⲉⲙⲟⲇ,تمد,you extend,,تَمَدُّ
ⲓⲉⲇⲁⲕ,يدك,your hand,,يَدَكُ
ⲓⲗⲉ,الى,towards,,الِى
ϣⲉⲓ,شى,a thing,,شَى
ⲑⲉϩⲃⲉϩ,تهواه,you desire it,,تَهْوَاهُ
ⲃⲉⲓⲇⲉ,واذا,and if,,
ϣⲉⲣⲁⲡⲑ,شربت,you drink,,
ⲉⲗⲙⲉ,الما,water,,
ϥⲉⲗⲉ,فلا,then do not,,
ⲑⲉⲇⲁϩ,تدع,you allow,,
ϩⲁⲗⲕⲁⲕ,حلقك,your throat,,
ⲑⲉⲥⲉϩ,تسح,you flow,,
ⲑⲉⲇⲃⲓ,تدوي,you make sound,,
ⲙⲉⲑⲗ,مثل,like,,
ⲉⲗϩⲉⲗⲙⲉⲛⲓⲓⲛ,العلمانيين,the layperson,,
ⲃⲉⲉⲇⲓ,واذا,and if,,وَاذَا
ⲭⲟⲛⲧ,كنت,you were,,كُنْتُ
ϫⲉⲗⲉⲥ'',جالسا,sitting,,جَالِسًا
ⲙⲁϩ,مع,with,,مَعَ
ⲁϧⲃⲉϩ,اخوة,brothers,,اخْوَةٍ
ⲃⲉϫⲁⲕ,وجاك,and it comes to you,,وَجَاكَ
ⲡⲉⲗⲅⲁⲙ'',بلغم,phlegm,,بِلَغَمٍ
ⲃⲉⲑⲉⲣⲓⲇ,وتريد,and you want,,وَتُرِيدُ
ⲑⲁⲣⲙⲓϩ,ترميه,to throw it,,تَرْمِيهِ
ϥⲉⲗⲉ,فلا,then do not,,فَلَا
ⲑⲁⲣⲙⲓϩ,ترميه,you throw it,,تَرْمِيهِ
ⲕⲟⲇⲇⲉⲙⲉϩⲟⲙ,قدامهم,in front of them,,قُدَامَهُمْ.
ⲡⲉⲗ,بل,rather,,بَلْ
ⲕȣⲙ,قم,stand up,,"قُم,"
ⲉⲑⲣⲁϩȣ,إطرحه,discard it,,إِطْرَحْهُ
ϧⲁⲣⲉϫ'',خارجا,outside,,خَارِجًا
ⲃⲉⲗⲉ,ولا,and not,,وَلَا
ⲑⲉⲑⲙⲁⲇⲇⲁ,تتمدى,you stretch out,,تَتَمَدَّى
ⲕⲟⲇⲇⲉⲙ,قدام,in front of,,قُدَامَ
ⲉⲛⲛⲉⲥ,الناس,the people,,النَّاسِ
ⲃⲉⲗⲉ,ولا,and not,,وَلَا
ⲑⲉⲑⲑⲉⲃⲉⲡ,تتثاوب,you yawn,,تَتَثَاوَبُ
ⲃⲉⲓⲇⲉ,واذا,and if,,وَإِذَا
ⲉϫⲁⲕ,اجاك,he comes to you,,أَجَاكَ
ⲉⲑⲑⲉⲑⲉⲃⲉⲡ,التثاوب,the yawn,,التَّثَاؤُبُ
ϥⲉⲗⲉ,فلا,then do not,,فَلَا
ⲑⲉϥⲑⲁϩ,تفتح,you open,,تُفْتَحُ
ϥⲁⲕ,فاك,your mouth,,فَاكَ
ⲃⲉϩȣ,وهو,and he,,وَهُوَ
ⲓⲉⲇϩⲉⲡ,يذهب,he goes,,يَذْهَبُ
ϩⲁⲛⲕ,عنك,about you,,عَنْك
ⲃⲉⲗⲉ,ولا,and not,,وَلَا
ⲑⲉⲙⲉⲕⲭⲉⲛ,تمكن,you allow,,تَمَكَّنْ
ⲉⲡⲉⲇⲉ'',ابدا,forever,,أَبَدًا
ϥⲟⲙⲙⲁⲕ,فمك,your mouth,,فَمَك
ⲙⲉⲛ,من,with,,مِنْ
ⲉⲍⲍⲁϩⲕ,الضحك,the laughter,,الضَّحِكِ
ϥⲉⲉⲛ,فان,because,,فَانَ
ⲉⲍⲍⲁϩⲕ,الضحك,the laughter,,الضَّحِكُ
ⲓⲉⲇⲉⲗ,يدل,he indicates,,يَدُلُّ
ϩⲁⲗⲉ,على,on,,عَلَى
ⲕⲉⲗⲗⲉⲑ,قلة,a lack,,قِلَّةِ
ⲙⲉϧⲁϥⲉⲑ,مخافة,fear,,مَخَافَةِ
ⲁⲗⲗⲁ,الله,God,,اللَّهِ
ⲥⲟⲡϩⲁⲛȣ,سبحانه,praise to Him,,سُبْحَانَهُ
ⲃⲉⲗⲉ,ولا,and not,,
ⲑⲉϣⲑⲉϩ,تشته,you covet,,
ϣⲏⲓ,شي,a thing,,شَيِّ
ⲙⲉⲛ,من,from,,
ⲙⲉⲑⲁϩ,متاع,property,,
ⲥⲁϩⲉⲡⲁⲕ,صاحبك,your friend,,
ⲗⲉ,لا,not,,
ⲑⲁⲩⲡ,ثوب,robe,,
ⲃⲉⲗⲉ,ولا,and not,,
ⲕⲁⲗⲉⲥⲃⲉ,قلنسوة,hood,,
ⲃⲉⲗⲉ,ولا,and not,,
ⲙⲉ,ما,what,,
ⲓⲉϣⲉⲭⲉⲗ,يشكل,he is like,,
ⲇⲉⲗⲉⲕ,ذلك,that,,
ⲃⲉⲗⲉ,ولا,and not,,
ⲑⲉⲑⲟⲙ,تتم,you fulfill,,
ϣⲉϩⲃⲉⲑⲁⲕ,شهوتك,your desire,,
ⲉⲛ,ان,that,,
ⲑⲉⲥⲛⲁϩ,تصنع,you do,,
ⲗⲁⲕ,لك,to you,,
ⲙⲉⲑⲗ,مثل,like,,
ⲇⲉⲗⲉⲕ,ذلك,that,,
ⲃⲉⲓⲇⲉ,واذا,and so,,
ⲁϧⲧⲁⲓⲑ,اخطات,you erred,,
ϥⲓ,في,in,,
ⲭⲟⲗ,كل,"all, every",,
ⲃⲉⲭⲉⲛⲉⲑ,وكانت,and she was,,
ϩⲁⲇⲉⲑ,عادة,habit,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲡⲉⲗϩⲁϣⲉ,بالعشا,in the evening,,
ⲭⲟⲗ,كل,"all, every",,
ⲓⲁⲩⲙ,يوم,day,,
ⲓⲉϩⲁⲗⲗⲉⲙⲟϩ,يعلمه,he learns him,,
ⲙⲉ,ما,what,,
ⲓⲉⲛϥⲁϩ,ينفع,he benefits,,
ⲛⲉϥⲥⲟϩ,نفسه,himself,,
ⲃⲉⲙⲉⲛ,ومن,and from,,
ⲡⲁϩⲇ,بعد,after,,
ⲉⲑⲑⲁϩⲗⲓⲙ,التعليم,the education,,
ⲭⲉⲛ,كان,he was,,
ⲓⲁϩⲙⲉⲗ,يعمل,he makes,,
ⲥⲁⲗⲉϩ,صلاة,prayer,,
ⲃⲉⲓⲉⲑⲗⲁⲕⲟϩ,ويطلقه,and he allows him,,
ⲗⲉⲓⲉⲣⲕⲟⲇ,ليرقد,to lie down,,
ⲃⲉϥⲓ,وفي,and in,,
ⲁϩⲁⲇ,احد,one,,
ⲉⲗⲉⲓⲓⲉⲙ,الايام,the days,,
ϩⲓⲛ,حين,when,,
ⲉⲭⲉⲗȣ,اكلوا,they ate,,
ⲉⲭⲗⲉϩⲟⲙ,اكلهم,their food,,
ⲉⲗⲕⲁⲗⲓⲗ,القليل,the little,,
ⲡⲉⲗϩⲓϣⲉ,بالعشا,in the evening,,
ϫⲉⲗ<ⲉⲥ>,جلس,he sat,1,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲡⲁϩⲇ,بعد,after,,
ⲉⲥⲥⲁⲗⲉⲑ,الصلاة,the prayer,,
ⲉⲗϫⲉⲙⲉϩⲁ,الجامعة,the gathering,,
ⲭⲉⲗⲁⲇⲉϩ,كالعادة,like the habit,,
ⲗⲓⲉϩⲁⲗⲗⲉⲙ,ليعلم,to teach,,
ⲉⲗⲁϧ,الاخ,the brother,,
ⲃⲉϥⲓⲙⲉ,وفيما,and while,,
ϩȣ,هو,he,,
ⲓⲉⲭⲗⲉⲙⲟϩ,يكلمه,he speaks to him,,
ϫⲁ,جا,he came,,
...,,...,1,
ⲉⲛⲛⲁⲩⲙ,النوم,the sleep,,
ϥⲉⲣⲁⲕⲁⲇ,فرقد,then he lay down,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲃⲉⲭⲉⲛ,وكان,and he was,,
ⲉⲗⲁϧ,الاخ,the brother,,
ⲥⲁⲡⲉⲣ,صابر,patient,,
ϩⲁⲑⲑⲉ,حتى,until,,
ⲓⲉⲕȣⲙ,يقوم,he stand,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲓⲉⲡⲉⲣⲉⲕ,يبارك,he blesses,,
ϩⲁⲗⲏⲓϩ,عليه,above him,,عَلَيْهِ
ⲭⲉϩⲁⲇⲉⲑⲟϩ,كعادته,like his habit,,
ϥⲉⲗⲉⲙⲙⲉ,فلما,then when,,
ⲡⲉⲕⲓ,بقى,he remained,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲛⲉⲓⲉⲙ,نايما,sleeping,,
ⲃⲁⲕⲑ,وقت,time,,
ϩⲁⲍⲓⲙ,عظيم,great,,
ⲍⲁⲓⲉⲕȣ,ضايقوا,they bothered,,
ⲉⲗⲉϥⲭⲁⲣ,الافكار,the thoughts,,
ⲉⲗⲁϧ,الاخ,the brother,,
ⲕⲁⲓⲉⲗⲉ,قايلا,saying,,
ⲗⲟϩ,له,to him,,
ⲕȣⲙ,قم,stand up,,
ⲉⲛⲧ,أنت,you,,
ⲉⲓⲍⲁ,أيضا,also,,
ⲉⲣⲕⲟⲇ,ارقد,lie down,,
ⲃⲉⲭⲉⲛ,وكان,and he was,,
ϩȣ,هو,he,,
ⲓⲉⲕⲁⲑⲉⲗ,يقاتل,he fights,,
ϥⲉⲭⲣⲟϩ,فكره,his thought,,
ⲕⲁⲓⲉⲗ,قايلا,saying,,
ⲙⲉ,ما,not,,
ⲓⲉⲙⲭⲉⲛⲛⲓ,يمكنى,he is possible for me,,
ⲉⲙ[ⲍⲓ],ام[ضى],to proceed,1,
...,,...,1,
ⲉⲇ,اذ,if,,
ⲗⲉⲙ,لم,did not,,
ⲓⲉⲕȣⲙ,يقوم,he stands,,
...,,...,1,
ⲃⲉⲓⲉⲑⲗⲁⲕⲛⲓ,ويطلقنى,and he allows me,,
ⲭⲉⲗ[ⲁⲇⲉϩ],كال[عادة],like the habit,1,
...,,...,1,
[ϥ]ⲉ,[ف],then,1,
ⲍⲁⲓⲉⲕⲁⲑⲟϩ,ضايقته,they bothered him,,
ⲉⲗⲉϥⲭⲁⲣ,الافكار,the thoughts,,
ⲉⲓⲍⲁ,أيضا,also,,
ⲃⲉⲗⲉⲙ,ولم,and not,,
ⲓⲉⲙⲍⲓ,يمض,he proceeded,,
ϩⲉⲭⲓⲇⲉ,هكذا,so thus,,
ⲕⲁⲑⲉⲗȣϩ,قاتلوه,they fought him,,
ⲥⲉⲡⲁϩ,سبع,seven,,
ⲇⲉϥⲟϩ,دفوع,occasions,,
ⲃⲉⲭⲉⲛ,وكان,and he was,,
ⲥⲁⲡⲉⲣ,صابرا,patient,,
ⲙⲉⲕⲁⲑⲉⲗ,مقاتلا,fighter,,
ⲗⲉϩⲉ,لها,to her,,
ⲃⲉⲙⲉⲛ,ومن,and from,,
ⲡⲁϩⲇ,بعد,after,,
ϩⲉⲇⲉ,هذا,this,,
ⲗⲉⲙⲙⲉ,لما,when,,
ⲑⲉⲕⲁⲇⲇⲉⲙ,تقدم,he progressed,,
ⲉⲗⲗⲏⲓⲗ,الليل,the night,,
ϩⲉⲇⲇⲉ,حدا,end,,
ϥⲉⲗⲉⲙⲙⲉ,فلما,then when,,
ⲉⲥⲑⲏⲓⲕⲁⲍ,استيقظ,he awoke,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ϥⲉⲃⲉϫⲉⲇⲟϩ,فوجده,then he found him,,
ϫⲉⲗⲉⲥ,جالسا,sitting,,
ϩⲁⲛⲇⲟϩ,عنده,with him,,
ϥⲉⲕⲁⲗ,فقال,then he said,,
ⲗⲟϩ,له,to him,,
ⲓⲗⲉ,الى,towards,,
ⲉⲗⲉⲛ,الان,now,,
ⲗⲉⲙ,لم,did not,,
ⲑⲉⲙⲍⲓ,تمض,you proceed,,
ⲕⲁⲗ,قال,he said,,
ⲗⲟϩ,له,to him,,
ⲓⲉ,يا,O,,
ⲉⲡⲓ,ابي,my father,,
ⲉⲛⲛⲁⲕ,انك,that you,,
ⲗⲉⲙ,لم,did not,,
ⲑⲉⲑⲗⲁⲕⲛⲓ,تطلقنى,you allow me,,
ϥⲉⲕⲁⲗ,فقال,then he said,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲗⲉⲙ,لم,did not,,
...,,...,1,
ⲑⲓⲕⲁⲍ[ⲛⲓ],تيقظ[ني],you wake me,1,
...,,...,1,
ⲗⲟϩ,له,to him,,
ⲙⲉ,ما,not,,
ϫⲉⲥⲁⲣⲧ,جسرت,I dared,,
ⲉⲓⲕⲁⲍⲁⲕ,ايقظك,I wake you,,
ⲗⲓⲉⲗⲗⲉ,لئلا,lest,,
ⲉⲑϩⲉⲡⲁⲕ,اتعبك,I tire you,,
ϥⲉⲡⲉⲣⲓⲕ,فبارك,then he blessed,,
ϩⲁⲗⲓϩ,عليه,above him,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ⲃⲉⲗⲉⲙⲙⲉ,ولما,and when,,
ⲕⲁⲙȣ,قاموا,they stood,,
ϩⲁⲙⲉⲗȣ,عملوا,they did,,
ⲉⲥⲥⲁⲗⲉϩ,الصلاة,the prayer,,
ⲉⲗϫⲉⲙⲉϩⲁ,الجامعة,the common,,
ⲉⲑⲗⲁⲕ,اطلق,he allowed,,
ⲉⲗⲁϧ,الاخ,the brother,,
ⲗⲉⲓⲉⲥⲑⲉⲣⲓϩ,ليستريح,to rest,,
ⲃⲉⲓⲉⲛⲉⲙ,وينام,and he sleep,,
ⲕⲁⲗⲓⲗ,قليلا,a little,,
ⲃⲉⲭⲉⲛ,وكان,and he was,,
ⲉⲓⲍⲁ,أيضا,also,,
ⲉϣϣⲉⲓϧ,الشيخ,the elder,,
ϫⲉⲗⲉⲥ,جلس,he sat,,
ϥⲓ,في,in,,
ⲙⲉⲥⲛⲉⲇⲟϩ,مسنده,his cushion,,
ⲓⲉⲧϩⲉⲡ,يتعب,he being tired,,
ⲛⲉϥⲥⲟϩ,نفسه,himself,,
ⲓⲗⲉ,الى,towards,,
ⲡⲟⲕⲣⲁ,بكرة,morning,,
ⲃⲉϥⲓⲙⲉ,وفيما,and while,,
ϩȣ,هو,he,,
ϫⲉⲗⲉⲥ,جالس,sitting,,
ⲥⲁⲣ,صار,having become,,
ϥⲓ,في,in,,
ⲥⲉϩȣ,سهو,ecstacy,,
...,,...,1,
ⲓⲇⲉ,اذا,so,,
ⲃⲉϩⲓⲇ,واحد,one,,
ⲓⲉⲣⲓϩ,يريه,he shows him,,
...,,...,1,
[ⲙȣ]ⲍⲁϩ,[مو]ضعا,a place,1,
ⲙⲉⲙⲑⲉⲗⲓ,ممتلئا,full,,
...,,...,1,
ⲃⲉϥⲓϩ,وفيه,and in it,,
ⲭⲟⲣ[ⲥⲓ],كر[سيا],a chair,1,